,rates
AED,3.86
AFN,82.21
ALL,106.59
AMD,408.51
ANG,1.9
AOA,867.83
ARS,367.97
AUD,1.65
AWG,1.89
AZN,1.79
BAM,1.95
BBD,2.12
BDT,116.05
BGN,1.95
BHD,0.4
BIF,2983.13
BMD,1.05
BND,1.44
BOB,7.27
BRL,5.28
BSD,1.05
BTC,0.0
BTN,87.57
BWP,14.5
BYN,2.66
BYR,20604.58
BZD,2.12
CAD,1.42
CDF,2622.88
CHF,0.97
CLF,0.03
CLP,951.28
CNY,7.69
COP,4292.04
CRC,566.63
CUC,1.05
CUP,27.86
CVE,109.95
CZK,24.36
DJF,187.38
DKK,7.46
DOP,59.67
DZD,144.6
EGP,32.49
ERN,15.77
ETB,58.22
EUR,1.0
FJD,2.42
FKP,0.86
GBP,0.87
GEL,2.81
GGP,0.86
GHS,12.18
GIP,0.86
GMD,68.38
GNF,9035.95
GTQ,8.27
GYD,220.16
HKD,8.22
HNL,25.95
HRK,7.37
HTG,142.59
HUF,392.9
IDR,16325.08
ILS,4.04
IMP,0.86
INR,87.47
IQD,1378.19
IRR,44415.48
ISK,144.9
JEP,0.86
JMD,162.7
JOD,0.75
JPY,157.11
KES,155.53
KGS,93.26
KHR,4331.26
KMF,489.83
KPW,946.15
KRW,1424.61
KWD,0.33
KYD,0.88
KZT,504.56
LAK,21306.35
LBP,15816.49
LKR,340.82
LRD,196.06
LSL,20.02
LTL,3.1
LVL,0.64
LYD,5.14
MAD,10.82
MDL,19.1
MGA,4784.93
MKD,61.52
MMK,2209.98
MNT,3648.03
MOP,8.48
MRO,375.3
MUR,46.78
MVR,16.25
MWK,1147.16
MXN,18.57
MYR,4.95
MZN,66.49
NAD,20.02
NGN,821.56
NIO,38.51
NOK,11.32
NPR,140.1
NZD,1.77
OMR,0.4
PAB,1.05
PEN,3.99
PGK,3.83
PHP,59.85
PKR,303.44
PLN,4.63
PYG,7670.45
QAR,3.83
RON,4.98
RSD,117.19
RUB,101.71
RWF,1285.96
SAR,3.94
SBD,8.81
SCR,13.7
SDG,631.7
SEK,11.6
SGD,1.44
SHP,1.28
SLE,23.85
SLL,20762.26
SOS,598.69
SRD,40.17
SSP,632.33
STD,21758.83
SYP,13668.51
SZL,20.16
THB,38.48
TJS,11.56
TMT,3.68
TND,3.34
TOP,2.51
TRY,28.71
TTD,7.14
TWD,33.89
TZS,2638.65
UAH,38.86
UGX,3951.49
USD,1.05
UYU,40.3
UZS,12820.67
VEF,3570290.92
VES,35.8
VND,25650.59
VUV,127.97
WST,2.92
XAF,654.03
XAG,0.05
XAU,0.0
XCD,2.84
XDR,0.8
XOF,654.06
XPF,119.16
YER,263.18
ZAR,20.12
ZMK,9462.55
ZMW,21.81
ZWL,338.5
